M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   before Check: VPReset : M=1719.89mb, Malloc-M=483mb, Available-M=43251mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   after  Check: VPReset : M=1719.89mb, Malloc-M=483mb, Available-M=43247mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   before Check: InitApp : M=1719.89mb, Malloc-M=483mb, Available-M=43247mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before Check: InitFXP : M=1719.89mb, Malloc-M=483mb, Available-M=43247mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  Check: InitFXP : M=1719.89mb, Malloc-M=483mb, Available-M=43241mb, T=0s CPU=0.01s W=(2024-12-07 00:19:00)
STATS:: |   |   after  Check: InitApp : M=1719.89mb, Malloc-M=483mb, Available-M=43242mb, T=0s CPU=0.01s W=(2024-12-07 00:19:00)
STATS:: |   |   before Check: FormalModel : M=1719.89mb, Malloc-M=483mb, Available-M=43242mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: Setup : M=1719.89mb, Malloc-M=483mb, Available-M=43242mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1719.89mb, Malloc-M=483mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1719.89mb, Malloc-M=483mb, Available-M=43240mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: Setup : M=1719.89mb, Malloc-M=483mb, Available-M=43238mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1719.89mb, Malloc-M=483mb, Available-M=43238mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1719.89mb, Malloc-M=483mb, Available-M=43240mb, T=0s CPU=0.01s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: Flatten : M=1719.89mb, Malloc-M=483mb, Available-M=43237mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1719.89mb, Malloc-M=492mb, Available-M=43237mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
