(2024-12-07 00:19:00),0.36196,0,end,1719.89,492,NldfgBuild : Remove false combo loops 
(2024-12-07 00:19:00),0.362087,0,start,1719.89,492,NldfgBuild : Create dfg 
(2024-12-07 00:19:00),0.362157,0,start,1719.89,492,NldfgBuild : Create graph function 
(2024-12-07 00:19:00),0.36232,0,end,1719.89,493,NldfgBuild : Create graph function 
(2024-12-07 00:19:00),0.362496,0,start,1719.89,493,NldfgBuild : Create scopes 
(2024-12-07 00:19:00),0.362622,0,end,1719.89,493,NldfgBuild : Create scopes 
(2024-12-07 00:19:00),0.362714,0,start,1719.89,493,NldfgBuild : Initial setup 
(2024-12-07 00:19:00),0.362855,0,end,1719.89,493,NldfgBuild : Initial setup 
(2024-12-07 00:19:00),0.362982,0,start,1719.89,493,NldfgBuild : Create graph 
(2024-12-07 00:19:00),0.363167,0,end,1719.89,493,NldfgBuild : Create graph 
(2024-12-07 00:19:00),0.363293,0,start,1719.89,493,NldfgBuild : Create terminal sinks and sources 
(2024-12-07 00:19:00),0.363532,0,end,1719.89,494,NldfgBuild : Create terminal sinks and sources 
(2024-12-07 00:19:00),0.363639,0,start,1719.89,494,NldfgBuild : Compute dependencies 
(2024-12-07 00:19:00),0.363776,0,end,1719.89,494,NldfgBuild : Compute dependencies 
(2024-12-07 00:19:00),0.363904,0,start,1719.89,494,NldfgBuild : Compute combinational SCCs 
(2024-12-07 00:19:00),0.364032,0,end,1719.89,494,NldfgBuild : Compute combinational SCCs 
(2024-12-07 00:19:00),0.364163,0,start,1719.89,494,NldfgBuild : Compute templates 
(2024-12-07 00:19:00),0.364701,0,end,1719.89,494,NldfgBuild : Compute templates 
(2024-12-07 00:19:00),0.364795,0,start,1719.89,494,NldfgBuild : Eliminate combinational SCCs 
(2024-12-07 00:19:00),0.36491,0,end,1719.89,494,NldfgBuild : Eliminate combinational SCCs 
(2024-12-07 00:19:00),0.364998,0,start,1719.89,494,NldfgBuild : Computing sequential SCCs 
(2024-12-07 00:19:00),0.365096,0,end,1719.89,494,NldfgBuild : Computing sequential SCCs 
(2024-12-07 00:19:00),0.365183,0,start,1719.89,494,NldfgBuild : Create simulator clocks, changeAts and Triggers 
(2024-12-07 00:19:00),0.365263,0,end,1719.89,494,NldfgBuild : Create simulator clocks, changeAts and Triggers 
(2024-12-07 00:19:00),0.365368,0,start,1719.89,494,NldfgBuild : SymSimulator Analysis and computation 
(2024-12-07 00:19:00),0.36697,0,end,1719.89,495,NldfgBuild : SymSimulator Analysis and computation 
(2024-12-07 00:19:00),0.367099,0,end,1719.89,495,NldfgBuild : Create dfg 
(2024-12-07 00:19:00),0.367226,0,start,1719.89,495,StaticCheck: StaticCheckProcess : 
(2024-12-07 00:19:00),0.367338,0,start,1719.89,495,StaticCheck: NldfgFlatDesign : 
(2024-12-07 00:19:00),0.367498,0,end,1719.89,495,StaticCheck: NldfgFlatDesign : 
(2024-12-07 00:19:00),0.367637,0,start,1719.89,495,StaticCheck: CombLoopCheck  : 
(2024-12-07 00:19:00),0.367765,0,end,1719.89,495,StaticCheck: CombLoopCheck  : 
(2024-12-07 00:19:00),0.36792,0,start,1719.89,495,StaticCheck: MultiDriverCheck  : 
(2024-12-07 00:19:00),0.368027,0,end,1719.89,495,StaticCheck: MultiDriverCheck  : 
(2024-12-07 00:19:00),0.368142,0,end,1719.89,495,StaticCheck: StaticCheckProcess : 
(2024-12-07 00:19:00),0.368249,0,start,1719.89,495,DfgBuild: DfgRemodel : 
(2024-12-07 00:19:01),0.373246,0,end,1719.89,493,DfgBuild: DfgRemodel : 
(2024-12-07 00:19:01),0.373376,0,end,1719.89,483,Check: FormalModel : 
(2024-12-07 00:19:01),0.373466,0,end,1719.89,483,Check: BuildFormal : 
(2024-12-07 00:19:01),0.373578,0,start,1719.89,483,Check: GCDB : 
(2024-12-07 00:19:01),0.373808,0,end,1719.89,483,Check: GCDB : 
(2024-12-07 00:19:01),0.374026,0,start,1719.89,483,Check: Tanglewood : 
(2024-12-07 00:19:01),0.375382,0,end,1719.89,483,Check: Tanglewood : 
(2024-12-07 00:19:01),0.375453,0,end,1719.89,483,Check: check_fv : 
